ZeRO Stage,Iter Time (ms),FWD (ms),BWD (ms),Step (ms),FWD %,BWD %,Step %
0,103.61450379689535,313.63933333333335,494.06175,807.7625833333333,302.6982920732098,476.8268262602092,779.5844729582507
1,104.8307861328125,317.57058333333333,499.4569166666667,817.0909166666665,302.9363749414184,476.4410676400856,779.4379368971587
2,1426.5772330191141,307.5891214670232,11018.04715412739,21820.26752370267,21.56133676801093,772.3414406950487,1529.5538873506127
3,1132.7434476288083,3224.0448002586677,5796.7364613531445,14330.029503325155,284.62268371603625,511.7431024198423,1265.0728223873161
