,step,alloc_gb,bwd_ms,comm_ms,comm_pct,compute_ms,fwd_ms,gpu_util,iteration_time_ms,loss,lr,peak_gb,reserved_gb,stage,step_ms,temp_c,throughput_tps
0,0,1.521166324615478,722.59,1.069056034088134,0.09732887940452101,1097.3264465332031,374.57,100.0,1098.25,10.9641,0.00011694453630700001,10.39,9.7890625,3.0,1.08,36.0,238692.01
1,4,1.521166324615478,721.65,1.069056034088134,0.09732887940452101,1097.3264465332031,374.42,100.0,1098.18,10.9558,0.00011694453630700001,10.39,9.7890625,3.0,2.1,36.0,238707.32
2,8,1.521166324615478,722.76,1.069056034088134,0.09732887940452101,1097.3264465332031,375.2,100.0,1098.99,10.963,0.00011694453630700001,10.49,9.7890625,3.0,1.02,36.0,238531.4
3,12,1.521166324615478,723.28,1.069056034088134,0.09732887940452101,1097.3264465332031,374.89,100.0,1100.3,10.952,0.00011694453630700001,10.49,9.7890625,3.0,2.12,36.0,238248.14
4,16,1.521166324615478,723.91,1.069056034088134,0.09732887940452101,1097.3264465332031,375.86,100.0,1100.81,10.9492,0.00011694453630700001,10.49,9.7890625,3.0,1.03,36.0,238137.09
5,20,1.521166324615478,724.85,1.069056034088134,0.09732887940452101,1097.3264465332031,375.91,100.0,1102.91,10.9419,0.00011694453630700001,10.49,9.7890625,3.0,2.14,36.0,237684.28
6,24,1.521166324615478,725.39,1.069056034088134,0.09732887940452101,1097.3264465332031,375.68,100.0,1102.12,10.5329,0.00011694453630700001,10.49,9.7890625,3.0,1.04,36.0,237855.21
7,28,1.521166324615478,724.49,1.069056034088134,0.09732887940452101,1097.3264465332031,377.62,100.0,1104.24,10.5381,0.00011694453630700001,10.49,9.7890625,3.0,2.12,36.0,237398.38
8,32,1.521166324615478,725.22,1.069056034088134,0.09732887940452101,1097.3264465332031,377.61,97.0,1103.88,10.2277,0.00011694453630700001,10.49,9.7890625,3.0,1.03,36.0,237475.72
9,36,1.521166324615478,724.71,1.069056034088134,0.09732887940452101,1097.3264465332031,379.2,100.0,1106.08,10.1879,0.00011694453630700001,10.49,9.7890625,3.0,2.16,36.0,237001.71
10,40,1.521166324615478,725.58,1.069056034088134,0.09732887940452101,1097.3264465332031,379.71,100.0,1106.33,10.1027,0.00011694453630700001,10.49,9.7890625,3.0,1.04,36.0,236948.39
11,44,1.521166324615478,725.32,1.069056034088134,0.09732887940452101,1097.3264465332031,380.24,100.0,1107.68,10.1162,0.00011694453630700001,10.49,9.7890625,3.0,2.12,36.0,236659.43
12,48,1.521166324615478,726.16,1.069056034088134,0.09732887940452101,1097.3264465332031,380.61,100.0,1107.81,9.7766,0.00011694453630700001,10.49,9.7890625,3.0,1.03,36.0,236632.57
13,52,1.521166324615478,726.98,1.069056034088134,0.09732887940452101,1097.3264465332031,380.32,100.0,1109.44,10.0347,0.00011694453630700001,10.49,9.7890625,3.0,2.13,36.0,236284.26
14,56,1.521166324615478,726.51,1.069056034088134,0.09732887940452101,1097.3264465332031,381.6,98.0,1109.16,9.8906,0.00011694453630700001,10.49,9.7890625,3.0,1.03,36.0,236344.69
15,60,1.521166324615478,726.64,1.069056034088134,0.09732887940452101,1097.3264465332031,382.75,100.0,1111.54,9.8522,0.00011694453630700001,10.49,9.7890625,3.0,2.13,36.0,235838.64
16,64,1.521166324615478,727.39,1.069056034088134,0.09732887940452101,1097.3264465332031,383.27,100.0,1111.7,9.6812,0.00011694453630700001,10.49,9.7890625,3.0,1.03,36.0,235804.09
17,68,1.521166324615478,727.79,1.069056034088134,0.09732887940452101,1097.3264465332031,383.47,100.0,1113.41,9.822,0.00011694453630700001,10.49,9.7890625,3.0,2.14,36.0,235442.33
18,100,1.521166324615478,722.3726196289062,1.069056034088134,0.09732887940452101,1097.3264465332031,374.9538269042969,100.0,1098.407958984375,10.145086288452148,0.00011694453630700001,10.5037841796875,9.7890625,3.0,1.069056034088134,36.0,238658.1395881246
19,104,1.521166324615478,723.4581909179688,2.175776004791259,0.19782635896171302,1097.66552734375,374.20733642578125,100.0,1099.8507080078125,10.145655632019043,0.00011694453630700001,10.5037841796875,9.7890625,3.0,2.175776004791259,43.0,238345.0754646765
20,108,1.521166801452636,725.4906616210938,1.040511965751648,0.094560892236732,1099.3213195800781,373.8306579589844,100.0,1100.3719482421875,9.994885444641113,0.00014858990536200002,10.6014404296875,9.88671875,3.0,1.040511965751648,48.0,238232.17269284945
21,112,1.521166801452636,723.820556640625,2.135040044784546,0.19374964694225302,1099.8231201171875,376.0025634765625,100.0,1101.9674072265625,10.025300979614258,0.00014858990536200002,10.6014404296875,9.88671875,3.0,2.135040044784546,52.0,237887.25354388246
22,116,1.521166801452636,724.0266723632812,1.043455958366394,0.094692715637195,1100.8955383300781,376.8688659667969,100.0,1101.9530029296875,9.815793991088867,0.000148119873817,10.6014404296875,9.88671875,3.0,1.043455958366394,55.0,237890.36311263326
23,120,1.521166801452636,724.9111328125,2.170880079269409,0.196491517389589,1102.650390625,377.7392578125,100.0,1104.8304443359375,9.82040023803711,0.000148119873817,10.6014404296875,9.88671875,3.0,2.170880079269409,57.0,237270.7969298969
24,124,1.521166801452636,724.7555541992188,1.051424026489257,0.095246087489672,1102.8511657714844,378.0956115722656,100.0,1103.9129638671875,9.885910034179688,0.000147649842271,10.6014404296875,9.88671875,3.0,1.051424026489257,59.0,237467.99664501334
25,128,1.521166801452636,724.9334106445312,2.169856071472168,0.196294806767869,1103.2369079589844,378.3034973144531,100.0,1105.4151611328125,9.907432556152344,0.000147649842271,10.6014404296875,9.88671875,3.0,2.169856071472168,61.0,237145.290943322
26,132,1.521166801452636,725.017822265625,1.053951978683471,0.095272750453845,1105.1930847167969,380.1752624511719,100.0,1106.257080078125,9.742451667785645,0.000147179810725,10.6014404296875,9.88671875,3.0,1.053951978683471,62.0,236964.81109209
27,136,1.521166801452636,725.0501708984375,2.19648003578186,0.198277747637041,1105.5829162597656,380.5327453613281,100.0,1107.789794921875,9.67612361907959,0.000147179810725,10.6014404296875,9.88671875,3.0,2.19648003578186,63.0,236636.95152426214
28,140,1.521166801452636,725.70849609375,1.057791948318481,0.095481695267335,1106.7901000976562,381.08160400390625,100.0,1107.8563232421875,9.711668014526367,0.00014670977917900002,10.6014404296875,9.88671875,3.0,1.057791948318481,63.0,236622.74114465018
