ZeRO Stage,FWD (ms),BWD (ms),AllReduce (ms),Step (ms),Total Comm (ms),Comm %,Compute Efficiency (%)
0,311.61164583333334,1822.8946041666668,1328.9959999999999,1.2460625,1328.9959999999999,6.025556491952173,93.96725009365885
1,316.44641666666666,1819.8680208333333,1320.4265625,84.05895833333332,1320.4265625,6.02304630379482,93.77983243686903
2,306.1604791666667,11089.767312499998,10594.005625,86.37677083333332,10594.005625,48.17698431295157,51.62573501045305
3,3186.7708125,5831.694270833334,5348.640145833333,120.74108333333334,5348.640145833333,37.240235286311545,62.27674399221414
