ZeRO Stage,FWD (ms),BWD (ms),AllReduce (ms),Step (ms),Total (ms),Compute Eff (%),FWD %,BWD %,AllReduce %,Step %
0,311.61164583333334,1822.8946041666668,1328.9959999999999,1.2460625,3464.7483125,93.96725009365885,8.993774373425959,52.6126125118552,38.357649102686445,0.03596401203240358
1,316.44641666666666,1819.8680208333333,1320.4265625,84.05895833333332,3540.7999583333335,93.77983243686903,8.937144724087126,51.397086597627265,37.29175830428809,2.3740103739975233
2,306.1604791666667,11089.767312499998,10594.005625,86.37677083333332,22076.310187500003,51.62573501045305,1.386828127374384,50.233790059623374,47.98811728510009,0.3912645279021373
3,3186.7708125,5831.694270833334,5348.640145833333,120.74108333333334,14487.8463125,62.27674399221414,21.996166605870737,40.25232008294976,36.918117644708644,0.8333956664708604
